artist,title,year,decade,style,language,spotify_uri,spotify_popularity,year_source,needs_year_review
Elvis Presley,Jailhouse Rock,1957,1950s,Curated,international,spotify:track:6pyex9B1kBoRIuabBAc4m8,,curated,no
Chuck Berry,Johnny B. Goode,1958,1950s,Curated,international,spotify:track:75Suv3FnFQji4Lp3ATMLJ1,,curated,no
Ben E. King,Stand By Me,1961,1960s,Curated,international,spotify:track:3SdTKo2uVsxFblQjpScoHy,,curated,no
The Animals,House of the Rising Sun,1964,1960s,Curated,international,spotify:track:0ev91hkSfD8mR15VBiAHts,,curated,no
The Temptations,My Girl,1964,1960s,Curated,international,spotify:track:745H5CctFr12Mo7cqa1BMH,,curated,no
Illés,Táskarádió,1965,1960s,Curated,hu,spotify:track:7xVZKw4oI4bzZCevHccfQd,,curated,no
Simon & Garfunkel,The Sound of Silence,1965,1960s,Curated,international,spotify:track:3YfS47QufnLDFA71FUsgCM,,curated,no
The Mamas & The Papas,California Dreamin',1965,1960s,Curated,international,spotify:track:6pwhPuPd4JEv4XeJDUpxBt,,curated,no
The Rolling Stones,(I Can't Get No) Satisfaction,1965,1960s,Curated,international,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,,curated,no
Aretha Franklin,Respect,1967,1960s,Curated,international,spotify:track:7s25THrKz86DM225dOYwnr,,curated,no
Louis Armstrong,What a Wonderful World,1967,1960s,Curated,international,spotify:track:29U7stRjqHU6rMiS8BfaI9,,curated,no
The Beatles,Hey Jude,1968,1960s,Curated,international,spotify:track:1eT2CjXwFXNx6oY5ydvzKU,,curated,no
Creedence Clearwater Revival,Fortunate Son,1969,1960s,Curated,international,spotify:track:6HPL4ntDOnsdc1jtnX8XMJ,,curated,no
Omega,Gyöngyhajú lány,1969,1960s,Curated,hu,spotify:track:6FY7ir6yRahEgQn0mEq73N,,curated,no
Szécsi Pál,Egy szál harangvirág,1970,1970s,Curated,hu,spotify:track:5AnZPTLRFRggeZ2tVVF0AS,,curated,no
The Beatles,Let It Be,1970,1970s,Curated,international,spotify:track:7iN1s7xHE4ifF5povM6A48,,curated,no
